section,metric,currentValue,vs5YHistory,vsUSTech,vsUS
Valuation Multiples,Price / Earnings - P/E (NTM),22.8x,2,50,72
Valuation Multiples,Price / Earnings - P/E (LTM),25.1x,3,37,63
Valuation Multiples,Price / Sales - P/S (NTM),8.5x,7,78,88
Valuation Multiples,Price / Sales - P/S (LTM),9.8x,12,73,87
Valuation Multiples,Price / Book - P/B (LTM),7.6x,2,72,86
Valuation Multiples,Price / Tangible Book Value - P/TBV (LTM),11.4x,1,67,83
Valuation Multiples,Price / Free Cash Flow (LTM),43.0x,54,73,85
Valuation Multiples,Price / Gross Profit (LTM),14.4x,12,68,86
Valuation Multiples,EV / Sales (NTM),8.6x,10,79,85
Valuation Multiples,EV / Sales (LTM),10.0x,13,74,84
Valuation Multiples,EV / EBITDA (NTM),13.8x,1,48,68
Valuation Multiples,EV / EBITDA (LTM),16.1x,2,43,69
Valuation Multiples,EV / EBIT (NTM),18.7x,2,52,63
Valuation Multiples,EV / EBIT (LTM),21.4x,5,40,59
Valuation Multiples,EV / Gross Profit (LTM),14.6x,14,69,80
Valuation Yields,Free Cash Flow / EV Yield (LTM),2.29%,41,29,22
Valuation Yields,Free Cash Flow / Market Cap Yield (LTM),2.33%,46,29,17
Valuation Yields,Dividend Yield (Ind),0.86%,67,42,17
Valuation Yields,Buyback Yield (LTM),0.64%,42,58,59
Valuation Yields,Debt Payback Yield (LTM),0.10%,31,56,57
Valuation Yields,Shareholder Yield (LTM),1.57%,31,40,36
Valuation Yields,Shareholder Yield excluding Debt (LTM),1.47%,47,61,51
Margins & Profitability,Gross Profit Margin % (LTM),68.31%,11,70,76
Margins & Profitability,EBITDA Margin % (LTM),57.96%,100,98,96
Margins & Profitability,EBIT Margin % (LTM),46.80%,100,99,95
Margins & Profitability,Net Income Margin % (LTM),39.34%,100,96,94
Margins & Profitability,Return on Assets (ROA) % (LTM),14.81%,63,96,97
Margins & Profitability,Return on Total Capital (ROTC) % (LTM),19.26%,58,94,94
Margins & Profitability,Return On Equity % (LTM),34.01%,16,90,93
Leverage,Long Term Debt / Equity (LTM),25.8%,0,58,41
Leverage,Net Debt / (EBITDA - Capex) (LTM),0.5x,100,6,7
Leverage,Net Debt / EBITDA (LTM),0.2x,89,3,4
Leverage,Total Debt / EBITDA (LTM),0.7x,0,27,17